DATE,BTC,ETH,MATIC,1INCH,MTD,VVS,CRO,COMP
28-02-2023,0.0160407,0.0152623,0.385127,122.067,100.671430366,1604765.40767009,0.0,0.0
01-05-2023,0.0198356,0.0429634,0.385127,128.552,106.57,1779239.93,636.5922329,0.0
06-05-2023,0.0198356,0.0617334,0.385127,128.552,106.57,1779239.93,0.0,0.0
20-05-2023,0.01903982,0.1282908172118,0.385127,129.119,108.85,1811927.85,8.1236,0.0
20-05-2023,0.01903982,0.1282908172118,0.385127,129.119,108.85,1811927.85,8.1236,0.0
16-07-2023,0.0,0.066,83.77,131.051,108.85,1811927.85,8.1236,0.0
16-07-2023,0.002,0.066,83.77,131.051,108.85,1811927.85,8.1236,0.0
16-07-2023,0.002,0.066,83.77,131.051,108.85,1811927.85,8.1236,0.366
16-09-2023,0.0105898,0.0287087,0.0,131.051,108.85,1811927.85,8.1236,0.0
