,Crypto,Amount,value_usd,value_eur,true_usd,true_eur
0,BTC,0.0105898,26519.18,24854.65,280.832812364,263.20577257
1,ETH,0.0287087,1635.47,1533.33,46.952217589,44.019910971
2,MATIC,,0.527,0.4939,,
3,1INCH,131.051,0.2564,0.2403,33.601476399999996,31.491555299999998
4,MTD,108.85,0.03167,0.02968,3.4472794999999996,3.230668
5,VVS,1811927.85,2.07e-06,1.94e-06,3.7506906495000005,3.5151400290000003
6,CRO,8.1236,0.05128,0.04802,0.416578208,0.390095272
7,COMP,,40.8,38.19,,
